Number of static obstacles,Number of dynamic obstacles,Minimum distance from obstacle,Average distance between obstacles,Largest free angle,Area,Run number,Robot position,Obs pos,Dyn obs pos,Is stuck
1,0,0,0,0,A to B,0,"(15, 15)","[(15, 10)]",[],TRUE
0,0,0,0,0,A to B,0,"(16, 16)",[],[],TRUE
0,0,0,0,0,A to B,0,"(17, 17)",[],[],TRUE
0,0,0,0,0,A to B,0,"(18, 18)",[],[],TRUE
0,0,0,0,0,A to B,0,"(19, 19)",[],[],TRUE
0,0,0,0,0,A to B,0,"(20, 20)",[],[],TRUE
0,0,0,0,0,A to B,0,"(21, 21)",[],[],TRUE
0,0,0,0,0,A to B,0,"(22, 22)",[],[],TRUE
1,0,0,0,0,A to B,0,"(23, 23)","[(28, 23)]",[],TRUE
5,0,0,0,0,A to B,0,"(24, 24)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,0,"(25, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,A to B,0,"(26, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
4,0,0,0,0,A to B,0,"(27, 26)","[(28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,0,"(28, 26)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
5,0,0,0,0,A to B,0,"(29, 25)","[(28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
6,0,0,0,0,A to B,0,"(30, 24)","[(28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,0,"(31, 23)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,0,"(32, 22)","[(28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
