Number of static obstacles,Number of dynamic obstacles,Minimum distance from obstacle,Average distance between obstacles,Largest free angle,Area,Run number,Robot position,Obs pos,Dyn obs pos,Is stuck
1,0,0,0,0,A to B,0,"(15, 15)","[(15, 10)]",[],TRUE
0,0,0,0,0,A to B,0,"(16, 16)",[],[],TRUE
0,0,0,0,0,A to B,0,"(17, 17)",[],[],TRUE
0,0,0,0,0,A to B,0,"(18, 18)",[],[],TRUE
0,0,0,0,0,A to B,0,"(19, 19)",[],[],TRUE
1,0,0,0,0,A to B,0,"(20, 20)","[(25, 20)]",[],TRUE
7,0,0,0,0,A to B,0,"(21, 21)","[(25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 21)]",[],TRUE
12,0,0,0,0,A to B,0,"(22, 22)","[(25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 19), (26, 20), (26, 21), (26, 22), (26, 23), (27, 22)]",[],TRUE
10,0,0,0,0,A to B,0,"(22, 23)","[(25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (26, 22), (26, 23), (27, 23)]",[],TRUE
12,0,0,0,0,A to B,0,"(23, 24)","[(25, 20), (25, 21), (25, 22), (25, 23), (26, 20), (26, 21), (26, 22), (26, 23), (27, 21), (27, 22), (27, 23), (28, 24)]",[],TRUE
14,0,0,0,0,A to B,0,"(24, 25)","[(21, 29), (25, 21), (25, 22), (25, 23), (26, 21), (26, 22), (26, 23), (27, 21), (27, 22), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
12,0,0,0,0,A to B,0,"(25, 26)","[(21, 29), (25, 21), (25, 22), (25, 23), (26, 22), (26, 23), (27, 22), (27, 23), (28, 22), (28, 23), (28, 24), (28, 25)]",[],TRUE
7,0,0,0,0,A to B,0,"(26, 27)","[(25, 23), (26, 22), (26, 23), (27, 23), (28, 23), (28, 24), (28, 25)]",[],TRUE
